timestamp,retrans_segs,in_segs,out_segs
1772855989.571663661,263,245979,210563
1772855990.588833867,263,245992,210576
1772855991.621674532,263,246041,210633
1772855992.652969508,263,246081,210668
1772855993.675887451,263,246101,210685
1772855994.703530233,263,246152,210736
1772855995.729659679,264,246167,210751
1772855996.751915800,264,246187,210775
1772855997.774453382,264,246205,210793
1772855998.802440956,264,246229,210815
1772855999.822884429,264,246251,210837
1772856000.844189649,264,246271,210857
1772856001.864935096,264,246286,210872
1772856002.883073589,264,246303,210889
1772856003.903451978,264,246320,210906
1772856004.926952462,264,246334,210920
1772856005.953788091,264,246356,210942
1772856006.977553073,265,246371,210957
1772856008.000510758,265,246388,210973
1772856009.026716427,265,246404,210989
1772856010.047710907,265,246425,211010
1772856011.067755232,265,246440,211025
1772856012.097688263,265,246455,211040
1772856013.112152412,265,246470,211055
1772856014.136621975,265,246490,211075
1772856015.162203374,265,246510,211094
1772856016.190910803,265,246525,211109
1772856017.212975606,265,246540,211124
1772856018.234879825,265,246555,211139
1772856019.263024761,265,246570,211154
1772856020.290750670,265,246585,211169
1772856021.314649620,265,246600,211184
1772856022.338073233,265,246616,211200
1772856023.390928181,265,246633,211217
1772856024.415875788,265,246664,211248
1772856025.441748749,265,246681,211265
1772856026.470233064,265,246698,211282
1772856027.498408438,265,246713,211297
1772856028.518728396,265,246728,211312
1772856029.541204339,265,246743,211327
1772856030.565554223,265,246758,211342
1772856031.588306954,265,246773,211357
1772856032.613579727,265,246790,211374
1772856033.634174252,265,246807,211391
1772856034.685219399,265,246826,211410
1772856035.714120584,265,246841,211425
1772856036.742844384,265,246865,211449
1772856037.764975527,265,246881,211465
1772856038.789234779,265,246897,211481
1772856039.819413229,265,246919,211503
1772856040.843488756,265,246941,211525
1772856041.867178550,265,246956,211540
1772856042.891788512,265,246971,211555
1772856043.920541270,265,246986,211570
1772856044.945676631,265,247002,211587
1772856045.971222086,265,247017,211602
1772856047.005063328,265,247032,211617
1772856048.024842768,265,247046,211631
1772856049.051615993,265,247060,211645
1772856050.076055898,266,247075,211659
1772856051.103839736,266,247090,211674
1772856052.126534149,266,247112,211696
1772856053.157312446,266,247130,211716
1772856054.185451195,266,247178,211762
1772856055.211894696,266,247194,211778
1772856056.236020119,266,247211,211795
1772856057.262658242,266,247226,211810
1772856058.288450606,266,247240,211824
1772856059.313928092,266,247260,211844
1772856060.335765154,266,247275,211859
1772856061.360502928,266,247289,211873
1772856062.385652138,266,247305,211889
1772856063.414500577,266,247321,211905
1772856064.455479855,266,247335,211919
1772856065.477520454,266,247349,211933
