@runq_delay_us: 
[1]                   57 |@@@                                                 |
[2, 4)               596 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                  |
[4, 8)               911 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)              364 |@@@@@@@@@@@@@@@@@@@@                                |
[16, 32)             306 |@@@@@@@@@@@@@@@@@                                   |
[32, 64)             138 |@@@@@@@                                             |
[64, 128)             74 |@@@@                                                |
[128, 256)            90 |@@@@@                                               |
[256, 512)           105 |@@@@@                                               |
[512, 1K)            146 |@@@@@@@@                                            |
[1K, 2K)              98 |@@@@@                                               |
[2K, 4K)             100 |@@@@@                                               |
[4K, 8K)              11 |                                                    |
[8K, 16K)              9 |                                                    |
[16K, 32K)             5 |                                                    |
[32K, 64K)             8 |                                                    |

@ctx_switches: 5626
@runq_delay_us: 
[1]                   73 |@@                                                  |
[2, 4)              1812 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              1690 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@    |
[8, 16)              659 |@@@@@@@@@@@@@@@@@@                                  |
[16, 32)             544 |@@@@@@@@@@@@@@@                                     |
[32, 64)             255 |@@@@@@@                                             |
[64, 128)            140 |@@@@                                                |
[128, 256)           142 |@@@@                                                |
[256, 512)           177 |@@@@@                                               |
[512, 1K)            253 |@@@@@@@                                             |
[1K, 2K)             206 |@@@@@                                               |
[2K, 4K)             218 |@@@@@@                                              |
[4K, 8K)              25 |                                                    |
[8K, 16K)             11 |                                                    |
[16K, 32K)            15 |                                                    |
[32K, 64K)            10 |                                                    |

@ctx_switches: 11947
@runq_delay_us: 
[1]                  125 |@@                                                  |
[2, 4)              2539 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              2518 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ |
[8, 16)              988 |@@@@@@@@@@@@@@@@@@@@                                |
[16, 32)             756 |@@@@@@@@@@@@@@@                                     |
[32, 64)             336 |@@@@@@                                              |
[64, 128)            202 |@@@@                                                |
[128, 256)           210 |@@@@                                                |
[256, 512)           246 |@@@@@                                               |
[512, 1K)            446 |@@@@@@@@@                                           |
[1K, 2K)             357 |@@@@@@@                                             |
[2K, 4K)             303 |@@@@@@                                              |
[4K, 8K)              58 |@                                                   |
[8K, 16K)             16 |                                                    |
[16K, 32K)            18 |                                                    |
[32K, 64K)            17 |                                                    |

@ctx_switches: 17444
@runq_delay_us: 
[1]                  155 |@@                                                  |
[2, 4)              3020 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@      |
[4, 8)              3379 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)             1393 |@@@@@@@@@@@@@@@@@@@@@                               |
[16, 32)            1203 |@@@@@@@@@@@@@@@@@@                                  |
[32, 64)             518 |@@@@@@@                                             |
[64, 128)            266 |@@@@                                                |
[128, 256)           283 |@@@@                                                |
[256, 512)           300 |@@@@                                                |
[512, 1K)            594 |@@@@@@@@@                                           |
[1K, 2K)             558 |@@@@@@@@                                            |
[2K, 4K)             430 |@@@@@@                                              |
[4K, 8K)             131 |@@                                                  |
[8K, 16K)             27 |                                                    |
[16K, 32K)            48 |                                                    |
[32K, 64K)            17 |                                                    |

@ctx_switches: 22898
@runq_delay_us: 
[1]                  200 |@@                                                  |
[2, 4)              3612 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                |
[4, 8)              5106 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)             2281 |@@@@@@@@@@@@@@@@@@@@@@@                             |
[16, 32)            1518 |@@@@@@@@@@@@@@@                                     |
[32, 64)             626 |@@@@@@                                              |
[64, 128)            346 |@@@                                                 |
[128, 256)           397 |@@@@                                                |
[256, 512)           364 |@@@                                                 |
[512, 1K)            857 |@@@@@@@@                                            |
[1K, 2K)             770 |@@@@@@@                                             |
[2K, 4K)             505 |@@@@@                                               |
[4K, 8K)             143 |@                                                   |
[8K, 16K)             28 |                                                    |
[16K, 32K)            48 |                                                    |
[32K, 64K)            17 |                                                    |

@ctx_switches: 31282
@runq_delay_us: 
[1]                  304 |@@                                                  |
[2, 4)              4471 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                 |
[4, 8)              6612 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)             3028 |@@@@@@@@@@@@@@@@@@@@@@@                             |
[16, 32)            1782 |@@@@@@@@@@@@@@                                      |
[32, 64)             697 |@@@@@                                               |
[64, 128)            386 |@@@                                                 |
[128, 256)           454 |@@@                                                 |
[256, 512)           411 |@@@                                                 |
[512, 1K)           1073 |@@@@@@@@                                            |
[1K, 2K)             942 |@@@@@@@                                             |
[2K, 4K)             594 |@@@@                                                |
[4K, 8K)             155 |@                                                   |
[8K, 16K)             28 |                                                    |
[16K, 32K)            48 |                                                    |
[32K, 64K)            17 |                                                    |

@ctx_switches: 39084
@runq_delay_us: 
[1]                  425 |@@@                                                 |
[2, 4)              5304 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@              |
[4, 8)              7231 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)             3397 |@@@@@@@@@@@@@@@@@@@@@@@@                            |
[16, 32)            2136 |@@@@@@@@@@@@@@@                                     |
[32, 64)             770 |@@@@@                                               |
[64, 128)            425 |@@@                                                 |
[128, 256)           489 |@@@                                                 |
[256, 512)           452 |@@@                                                 |
[512, 1K)           1193 |@@@@@@@@                                            |
[1K, 2K)            1000 |@@@@@@@                                             |
[2K, 4K)             673 |@@@@                                                |
[4K, 8K)             157 |@                                                   |
[8K, 16K)             28 |                                                    |
[16K, 32K)            48 |                                                    |
[32K, 64K)            17 |                                                    |

@ctx_switches: 44170
@runq_delay_us: 
[1]                  451 |@@                                                  |
[2, 4)              7302 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@     |
[4, 8)              7913 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)             3726 |@@@@@@@@@@@@@@@@@@@@@@@@                            |
