@runq_delay_us: 
[2, 4)               400 |@@@@@@                                              |
[4, 8)              3104 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)             1764 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                       |
[16, 32)             931 |@@@@@@@@@@@@@@@                                     |
[32, 64)             419 |@@@@@@@                                             |
[64, 128)            250 |@@@@                                                |
[128, 256)           183 |@@@                                                 |
[256, 512)           201 |@@@                                                 |
[512, 1K)            173 |@@                                                  |
[1K, 2K)             162 |@@                                                  |
[2K, 4K)              97 |@                                                   |
[4K, 8K)              27 |                                                    |
[8K, 16K)             11 |                                                    |
[16K, 32K)            15 |                                                    |
[32K, 64K)            12 |                                                    |

@ctx_switches: 13448
@runq_delay_us: 
[2, 4)               612 |@@@@@                                               |
[4, 8)              6016 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)             3508 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                      |
[16, 32)            1896 |@@@@@@@@@@@@@@@@                                    |
[32, 64)             909 |@@@@@@@                                             |
[64, 128)            458 |@@@                                                 |
[128, 256)           313 |@@                                                  |
[256, 512)           344 |@@                                                  |
[512, 1K)            309 |@@                                                  |
[1K, 2K)             330 |@@                                                  |
[2K, 4K)             179 |@                                                   |
[4K, 8K)              41 |                                                    |
[8K, 16K)             26 |                                                    |
[16K, 32K)            29 |                                                    |
[32K, 64K)            23 |                                                    |

@ctx_switches: 26262
@runq_delay_us: 
[2, 4)               798 |@@@@                                                |
[4, 8)              9783 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)             5620 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                       |
[16, 32)            2895 |@@@@@@@@@@@@@@@                                     |
[32, 64)            1445 |@@@@@@@                                             |
[64, 128)            739 |@@@                                                 |
[128, 256)           540 |@@                                                  |
[256, 512)           526 |@@                                                  |
[512, 1K)            527 |@@                                                  |
[1K, 2K)             547 |@@                                                  |
[2K, 4K)             300 |@                                                   |
[4K, 8K)              83 |                                                    |
[8K, 16K)             43 |                                                    |
[16K, 32K)            45 |                                                    |
[32K, 64K)            23 |                                                    |

@ctx_switches: 41974
@runq_delay_us: 
[2, 4)               944 |@@@@                                                |
[4, 8)             12133 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
