@runq_delay_us: 
[1]                   58 |@@@                                                 |
[2, 4)               676 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                |
[4, 8)               958 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)              373 |@@@@@@@@@@@@@@@@@@@@                                |
[16, 32)             266 |@@@@@@@@@@@@@@                                      |
[32, 64)             117 |@@@@@@                                              |
[64, 128)             81 |@@@@                                                |
[128, 256)            92 |@@@@                                                |
[256, 512)            77 |@@@@                                                |
[512, 1K)            130 |@@@@@@@                                             |
[1K, 2K)             108 |@@@@@                                               |
[2K, 4K)             100 |@@@@@                                               |
[4K, 8K)              16 |                                                    |
[8K, 16K)              4 |                                                    |
[16K, 32K)             7 |                                                    |
[32K, 64K)            10 |                                                    |

@ctx_switches: 5761
@runq_delay_us: 
[1]                   80 |@@                                                  |
[2, 4)              2076 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              1966 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@   |
[8, 16)              786 |@@@@@@@@@@@@@@@@@@@                                 |
[16, 32)             486 |@@@@@@@@@@@@                                        |
[32, 64)             205 |@@@@@                                               |
[64, 128)            121 |@@@                                                 |
[128, 256)           143 |@@@                                                 |
[256, 512)           125 |@@@                                                 |
[512, 1K)            260 |@@@@@@                                              |
[1K, 2K)             231 |@@@@@                                               |
[2K, 4K)             222 |@@@@@                                               |
[4K, 8K)              30 |                                                    |
[8K, 16K)              6 |                                                    |
[16K, 32K)            16 |                                                    |
[32K, 64K)            17 |                                                    |

@ctx_switches: 13148
@runq_delay_us: 
[1]                   99 |@                                                   |
[2, 4)              2773 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@              |
[4, 8)              3791 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)             1749 |@@@@@@@@@@@@@@@@@@@@@@@                             |
[16, 32)             761 |@@@@@@@@@@                                          |
[32, 64)             308 |@@@@                                                |
[64, 128)            196 |@@                                                  |
[128, 256)           210 |@@                                                  |
[256, 512)           199 |@@                                                  |
[512, 1K)            458 |@@@@@@                                              |
[1K, 2K)             437 |@@@@@                                               |
[2K, 4K)             303 |@@@@                                                |
[4K, 8K)              68 |                                                    |
[8K, 16K)             14 |                                                    |
[16K, 32K)            18 |                                                    |
[32K, 64K)            19 |                                                    |

@ctx_switches: 21952
@runq_delay_us: 
[1]                  138 |@                                                   |
[2, 4)              3680 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@            |
[4, 8)              4680 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)             2193 |@@@@@@@@@@@@@@@@@@@@@@@@                            |
[16, 32)            1043 |@@@@@@@@@@@                                         |
[32, 64)             376 |@@@@                                                |
[64, 128)            237 |@@                                                  |
[128, 256)           255 |@@                                                  |
[256, 512)           241 |@@                                                  |
[512, 1K)            593 |@@@@@@                                              |
[1K, 2K)             547 |@@@@@@                                              |
[2K, 4K)             396 |@@@@                                                |
[4K, 8K)              77 |                                                    |
[8K, 16K)             18 |                                                    |
[16K, 32K)            22 |                                                    |
[32K, 64K)            19 |                                                    |

@ctx_switches: 27960
@runq_delay_us: 
[1]                  170 |@                                                   |
[2, 4)              4714 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@          |
[4, 8)              5830 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)             2746 |@@@@@@@@@@@@@@@@@@@@@@@@                            |
[16, 32)            1279 |@@@@@@@@@@@                                         |
[32, 64)             467 |@@@@                                                |
[64, 128)            294 |@@                                                  |
[128, 256)           327 |@@                                                  |
[256, 512)           307 |@@                                                  |
[512, 1K)            790 |@@@@@@@                                             |
[1K, 2K)             695 |@@@@@@                                              |
[2K, 4K)             508 |@@@@                                                |
[4K, 8K)             102 |                                                    |
[8K, 16K)             18 |                                                    |
[16K, 32K)            22 |                                                    |
[32K, 64K)            19 |                                                    |

@ctx_switches: 35122
@runq_delay_us: 
[1]                  270 |@@                                                  |
[2, 4)              5836 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@      |
[4, 8)              6583 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)             3075 |@@@@@@@@@@@@@@@@@@@@@@@@                            |
[16, 32)            1506 |@@@@@@@@@@@                                         |
[32, 64)             531 |@@@@                                                |
[64, 128)            354 |@@                                                  |
[128, 256)           398 |@@@                                                 |
[256, 512)           367 |@@                                                  |
[512, 1K)            920 |@@@@@@@                                             |
[1K, 2K)             778 |@@@@@@                                              |
[2K, 4K)             619 |@@@@                                                |
[4K, 8K)             104 |                                                    |
[8K, 16K)             18 |                                                    |
[16K, 32K)            22 |                                                    |
[32K, 64K)            19 |                                                    |

@ctx_switches: 41058
@runq_delay_us: 
[1]                  327 |@@                                                  |
[2, 4)              7119 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              7117 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ |
[8, 16)             3315 |@@@@@@@@@@@@@@@@@@@@@@@@                            |
[16, 32)            1644 |@@@@@@@@@@@@                                        |
[32, 64)             596 |@@@@                                                |
[64, 128)            380 |@@                                                  |
[128, 256)           442 |@@@                                                 |
[256, 512)           391 |@@                                                  |
[512, 1K)           1065 |@@@@@@@                                             |
[1K, 2K)             832 |@@@@@@                                              |
[2K, 4K)             702 |@@@@@                                               |
[4K, 8K)             107 |                                                    |
[8K, 16K)             18 |                                                    |
[16K, 32K)            22 |                                                    |
[32K, 64K)            19 |                                                    |

@ctx_switches: 46331
@runq_delay_us: 
[1]                  388 |@@                                                  |
[2, 4)              8328 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              8065 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@  |
[8, 16)             3754 |@@@@@@@@@@@@@@@@@@@@@@@                             |
[16, 32)            1924 |@@@@@@@@@@@@                                        |
[32, 64)             749 |@@@@                                                |
[64, 128)            472 |@@                                                  |
[128, 256)           531 |@@@                                                 |
[256, 512)           463 |@@                                                  |
[512, 1K)           1212 |@@@@@@@                                             |
[1K, 2K)             964 |@@@@@@                                              |
[2K, 4K)             826 |@@@@@                                               |
[4K, 8K)             124 |                                                    |
[8K, 16K)             21 |                                                    |
[16K, 32K)            22 |                                                    |
[32K, 64K)            19 |                                                    |

@ctx_switches: 53181
@runq_delay_us: 
[1]                  411 |@@                                                  |
[2, 4)              9681 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              8652 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@      |
[8, 16)             4030 |@@@@@@@@@@@@@@@@@@@@@                               |
[16, 32)            2101 |@@@@@@@@@@@                                         |
[32, 64)             808 |@@@@                                                |
[64, 128)            532 |@@                                                  |
[128, 256)           579 |@@@                                                 |
[256, 512)           516 |@@                                                  |
[512, 1K)           1350 |@@@@@@@                                             |
[1K, 2K)            1038 |@@@@@                                               |
[2K, 4K)             913 |@@@@                                                |
[4K, 8K)             128 |                                                    |
[8K, 16K)             21 |                                                    |
[16K, 32K)            22 |                                                    |
[32K, 64K)            19 |                                                    |

@ctx_switches: 58855
@runq_delay_us: 
[1]                  519 |@@                                                  |
[2, 4)             10991 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              9231 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@         |
[8, 16)             4335 |@@@@@@@@@@@@@@@@@@@@                                |
[16, 32)            2288 |@@@@@@@@@@                                          |
[32, 64)             872 |@@@@                                                |
[64, 128)            572 |@@                                                  |
[128, 256)           611 |@@                                                  |
[256, 512)           569 |@@                                                  |
[512, 1K)           1477 |@@@@@@                                              |
[1K, 2K)            1146 |@@@@@                                               |
[2K, 4K)            1012 |@@@@                                                |
[4K, 8K)             141 |                                                    |
[8K, 16K)             21 |                                                    |
[16K, 32K)            22 |                                                    |
[32K, 64K)            19 |                                                    |

@ctx_switches: 64600
@runq_delay_us: 
[1]                  570 |@@                                                  |
