timestamp_ns,pid,comm,cpu,delay_us,event
9853798234317,26179,kube-controller,1,14,switch
9853897958403,26179,kube-controller,1,13,switch
9854097649883,18707,kubelet,2,4,switch
9854272261955,4235,containerd,2,4,switch
9854303617173,4389,kubelet,1,3,switch
9854458585982,26140,kube-controller,1,6,switch
9854570707012,4383,kubelet,2,8,switch
10:21:21
9854700114682,26140,kube-controller,1,8,switch
9854840782666,4421,kubelet,2,6,switch
9854925392835,240021,iperf3,3,21,switch
9855041613735,4350,kubelet,2,54,switch
9855227657236,26179,kube-controller,5,7,switch
9855371591069,26185,kube-scheduler,1,4,switch
9855497676363,4353,kubelet,5,159,switch
9855635828431,338,dbuf_evict,1,2811,switch
10:21:22
9855804860147,4791,kube-apiserver,5,10,switch
9855889130764,26912,antigravity,4,3,switch
9856050113442,4791,kube-apiserver,1,6,switch
9856228238373,4353,kubelet,3,9,switch
9856389024990,4791,kube-apiserver,1,28,switch
9856530353027,4389,kubelet,6,14,switch
9856629385366,4821,kube-apiserver,1,8,switch
10:21:23
9856750184878,4383,kubelet,6,25,switch
9856848003836,4091,containerd,6,6,switch
9856922353317,4351,kubelet,6,5,switch
9857033882265,240020,iperf3,4,16,switch
9857131836721,240021,iperf3,4,869,switch
9857240331201,4791,kube-apiserver,1,5,switch
9857339942178,26769,Compositor,2,869,switch
9857419530120,4352,kubelet,6,5,switch
9857544617696,240020,iperf3,4,7,switch
9857632746231,4235,containerd,5,4,switch
10:21:24
9857694760578,9363,language_server,5,8,switch
9857804403779,9355,language_server,6,6,switch
9857865003659,240020,iperf3,4,6,switch
9857934140709,4783,etcd,5,20,switch
9858032951802,6217,kubelet,6,35,switch
9858140927002,26179,kube-controller,5,17,switch
9858261631292,240020,iperf3,4,7,switch
9858371428412,26185,kube-scheduler,5,4,switch
9858452305733,26912,antigravity,7,4,switch
9858544147209,59,migration/7,7,7,switch
9858646827167,4805,kube-apiserver,5,5,switch
10:21:25
9858718632418,240021,iperf3,4,851,switch
9858840589726,4783,etcd,5,45,switch
9858917455931,26912,antigravity,3,3,switch
9859036938487,4783,etcd,5,5,switch
9859124729478,4356,kubelet,1,67,switch
9859236954219,4791,kube-apiserver,1,8,switch
9859360131098,240020,iperf3,4,12,switch
9859449339503,240020,iperf3,0,1246,switch
9859544779283,6757,kube-proxy,3,6,switch
9859640910041,239593,z_wr_iss,3,1782,switch
9859691693054,240525,bash,2,9,switch
9859772727229,240020,iperf3,0,137,switch
9859841988089,26912,antigravity,4,5,switch
9859893118128,240020,iperf3,0,8,switch
9859948809937,26140,kube-controller,1,49,switch
9860054910777,240020,iperf3,0,11,switch
9860158169656,240020,iperf3,0,7,switch
9860264228870,4783,etcd,1,35,switch
9860364880663,4791,kube-apiserver,1,5,switch
9860457628707,4353,kubelet,1,7,switch
9860533292033,5534,containerd-shim,7,4,switch
9860586854135,9362,language_server,1,147,switch
9860635503651,240020,iperf3,0,12,switch
10:21:27
9860713478343,240498,z_wr_int_1,6,11,switch
9860809415427,239756,bpftrace,4,8,switch
9860885029948,4350,kubelet,1,873,switch
9860947496436,240020,iperf3,0,11,switch
9861036738937,4352,kubelet,6,11,switch
9861124634920,240020,iperf3,0,6,switch
9861203786833,240020,iperf3,0,7,switch
9861306445189,6299,containerd,2,9,switch
9861386566973,240020,iperf3,0,11,switch
9861484231239,240020,iperf3,0,7,switch
9861567913317,240020,iperf3,0,6,switch
9861665018265,239756,bpftrace,7,743,switch
9861766252008,27095,language_server,4,6,switch
9861857974342,239690,mc-lrumaint,3,8,switch
9861894353139,4795,etcd,4,7,switch
9861971526705,240020,iperf3,2,7,switch
9862055930117,240020,iperf3,2,11,switch
9862147240774,4824,etcd,4,39,switch
9862252049755,240020,iperf3,2,13,switch
9862362348613,240021,iperf3,2,777,switch
9862437016378,240020,iperf3,2,720,switch
9862534558236,27102,language_server,4,7,switch
9862625440687,6470,containerd,4,5,switch
10:21:29
9862728388173,240020,iperf3,2,15,switch
9862794082535,240020,iperf3,2,13,switch
9862889136073,4368,kubelet,6,22,switch
9862970962545,26912,antigravity,2,7,switch
9863045930960,4791,kube-apiserver,3,6,switch
9863140862433,4819,kube-apiserver,7,29,switch
9863218790887,240020,iperf3,6,11,switch
9863297309921,26390,coredns,6,13,switch
9863367987401,4356,kubelet,5,5,switch
9863450404638,240020,iperf3,6,8,switch
9863518195949,240020,iperf3,6,7,switch
9863593273272,5742,containerd-shim,5,110,switch
9863639629528,4791,kube-apiserver,7,5,switch
10:21:30
9863725746922,240020,iperf3,6,7,switch
9863802158957,26912,antigravity,5,4,switch
9863879161823,26140,kube-controller,7,21,switch
9863922628164,240020,iperf3,6,7,switch
9863993697056,26140,kube-controller,7,19,switch
9864079943018,26179,kube-controller,7,4,switch
