timestamp,retrans_segs,in_segs,out_segs
1772859079.127906124,356,322487,297366
1772859080.153472442,356,322500,297379
1772859081.187872729,356,322514,297393
1772859082.226411371,356,322531,297410
1772859083.245780199,357,322548,297426
1772859084.271493922,357,322578,297456
1772859085.287440010,357,322594,297472
1772859086.313583509,357,322608,297486
1772859087.337064269,357,322626,297504
1772859088.363080357,357,322640,297518
1772859089.382297241,357,322658,297536
1772859090.405005714,357,322670,297548
1772859091.424891047,357,322684,297562
1772859092.452724122,357,322698,297576
1772859093.473555455,357,322712,297590
1772859094.492902532,357,322726,297604
1772859095.519988780,357,322740,297618
1772859096.545609223,357,322754,297632
1772859097.573803464,357,322770,297648
1772859098.605609522,357,322784,297662
1772859099.633991165,357,322800,297678
1772859100.659577332,357,322814,297692
1772859101.682488056,357,322828,297707
1772859102.717489270,357,322844,297725
1772859103.734557134,357,322868,297749
1772859104.756808450,357,322882,297764
1772859105.782474457,357,322897,297778
1772859106.812472084,357,322914,297795
1772859107.833859682,357,322930,297811
1772859108.857226770,357,322944,297825
1772859109.879818893,357,322958,297839
1772859110.901712275,357,322972,297853
1772859111.921091872,357,323027,297917
1772859112.945782791,357,323064,297947
1772859113.970942135,357,323112,297993
1772859114.996640541,358,323143,298022
1772859116.018394031,358,323159,298037
1772859117.034411368,358,323182,298060
1772859118.055820495,358,323197,298075
1772859119.081520767,358,323219,298097
1772859120.101096558,358,323234,298112
1772859121.129487571,358,323251,298129
1772859122.154831349,358,323266,298144
1772859123.176831394,358,323281,298159
1772859124.198389128,358,323296,298174
1772859125.222087365,358,323312,298190
1772859126.244952293,358,323327,298205
1772859127.265185702,358,323343,298221
1772859128.285068225,358,323361,298239
1772859129.306397388,358,323385,298263
1772859130.336029476,358,323401,298279
1772859131.360375451,358,323416,298294
1772859132.400871419,358,323431,298309
1772859133.436585641,358,323446,298324
1772859134.455799760,358,323463,298341
1772859135.478719749,358,323479,298356
1772859136.501110500,358,323493,298370
1772859137.529775105,358,323509,298386
1772859138.560766491,358,323523,298400
1772859139.587784761,358,323537,298414
1772859140.616765516,358,323551,298428
1772859141.640583318,358,323565,298442
1772859142.676685485,358,323580,298457
1772859143.696806952,358,323598,298477
1772859144.724435667,358,323629,298508
1772859145.747423174,358,323644,298522
1772859146.775353178,358,323658,298536
1772859147.796827995,358,323684,298562
1772859148.824425011,358,323701,298582
1772859149.848936585,359,323716,298596
1772859150.874840015,359,323732,298612
1772859151.895789646,359,323746,298626
1772859152.927131551,359,323760,298640
1772859153.953955596,359,323774,298654
1772859154.981403511,359,323788,298668
